Col,Row,Year,Race,Gender,Ethnicity,AgeRange,Population
46062,1,2010,ALL,ALL,ALL,19TO64,17565
46062,1,2010,ALL,ALL,ALL,65TO69,950
46062,1,2010,ALL,ALL,ALL,70TO74,675
46062,1,2010,ALL,ALL,ALL,75UP,1382
46064,1,2010,ALL,ALL,ALL,INFANT,189
46064,1,2010,ALL,ALL,ALL,1TO4,766
46064,1,2010,ALL,ALL,ALL,FIVE,208
46064,1,2010,ALL,ALL,ALL,6TO12,1601
46064,1,2010,ALL,ALL,ALL,13TO17,1324
46064,1,2010,ALL,ALL,ALL,EIGHTEEN,229
46064,1,2010,ALL,ALL,ALL,19TO64,11274
46064,1,2010,ALL,ALL,ALL,65TO69,567
46064,1,2010,ALL,ALL,ALL,70TO74,334
46064,1,2010,ALL,ALL,ALL,75UP,656
46069,1,2010,ALL,ALL,ALL,INFANT,70
46069,1,2010,ALL,ALL,ALL,1TO4,315
46069,1,2010,ALL,ALL,ALL,FIVE,90
46069,1,2010,ALL,ALL,ALL,6TO12,667
46069,1,2010,ALL,ALL,ALL,13TO17,575
46069,1,2010,ALL,ALL,ALL,EIGHTEEN,96
46069,1,2010,ALL,ALL,ALL,19TO64,4017
46069,1,2010,ALL,ALL,ALL,65TO69,277
46069,1,2010,ALL,ALL,ALL,70TO74,197
46069,1,2010,ALL,ALL,ALL,75UP,360
46071,1,2010,ALL,ALL,ALL,INFANT,46
46071,1,2010,ALL,ALL,ALL,1TO4,171
46071,1,2010,ALL,ALL,ALL,FIVE,51
46071,1,2010,ALL,ALL,ALL,6TO12,337
46071,1,2010,ALL,ALL,ALL,13TO17,281
46071,1,2010,ALL,ALL,ALL,EIGHTEEN,59
46071,1,2010,ALL,ALL,ALL,19TO64,2029
46071,1,2010,ALL,ALL,ALL,65TO69,160
46071,1,2010,ALL,ALL,ALL,70TO74,99
46071,1,2010,ALL,ALL,ALL,75UP,184
46074,1,2010,ALL,ALL,ALL,INFANT,457
46074,1,2010,ALL,ALL,ALL,1TO4,2164
46074,1,2010,ALL,ALL,ALL,FIVE,554
46074,1,2010,ALL,ALL,ALL,6TO12,3767
46074,1,2010,ALL,ALL,ALL,13TO17,2028
46074,1,2010,ALL,ALL,ALL,EIGHTEEN,312
46074,1,2010,ALL,ALL,ALL,19TO64,15720
46074,1,2010,ALL,ALL,ALL,65TO69,608
46074,1,2010,ALL,ALL,ALL,70TO74,396
46074,1,2010,ALL,ALL,ALL,75UP,739
46075,1,2010,ALL,ALL,ALL,INFANT,52
46075,1,2010,ALL,ALL,ALL,1TO4,219
46075,1,2010,ALL,ALL,ALL,FIVE,51
46075,1,2010,ALL,ALL,ALL,6TO12,275
46075,1,2010,ALL,ALL,ALL,13TO17,154
46075,1,2010,ALL,ALL,ALL,EIGHTEEN,28
46075,1,2010,ALL,ALL,ALL,19TO64,1883
46075,1,2010,ALL,ALL,ALL,65TO69,94
46075,1,2010,ALL,ALL,ALL,70TO74,62
46075,1,2010,ALL,ALL,ALL,75UP,95
46077,1,2010,ALL,ALL,ALL,INFANT,276
46077,1,2010,ALL,ALL,ALL,1TO4,1520
46077,1,2010,ALL,ALL,ALL,FIVE,414
46077,1,2010,ALL,ALL,ALL,6TO12,3428
46077,1,2010,ALL,ALL,ALL,13TO17,2480
46077,1,2010,ALL,ALL,ALL,EIGHTEEN,391
46077,1,2010,ALL,ALL,ALL,19TO64,14064
46077,1,2010,ALL,ALL,ALL,65TO69,729
46077,1,2010,ALL,ALL,ALL,70TO74,455
46077,1,2010,ALL,ALL,ALL,75UP,755
46105,1,2010,ALL,ALL,ALL,INFANT,15
46105,1,2010,ALL,ALL,ALL,1TO4,85
46105,1,2010,ALL,ALL,ALL,FIVE,26
46105,1,2010,ALL,ALL,ALL,6TO12,182
46105,1,2010,ALL,ALL,ALL,13TO17,166
46105,1,2010,ALL,ALL,ALL,EIGHTEEN,25
46105,1,2010,ALL,ALL,ALL,19TO64,1157
46105,1,2010,ALL,ALL,ALL,65TO69,84
46105,1,2010,ALL,ALL,ALL,70TO74,75
46105,1,2010,ALL,ALL,ALL,75UP,113
46106,1,2010,ALL,ALL,ALL,INFANT,82
46106,1,2010,ALL,ALL,ALL,1TO4,366
46106,1,2010,ALL,ALL,ALL,FIVE,99
46106,1,2010,ALL,ALL,ALL,6TO12,651
46106,1,2010,ALL,ALL,ALL,13TO17,447
46106,1,2010,ALL,ALL,ALL,EIGHTEEN,75
46106,1,2010,ALL,ALL,ALL,19TO64,3603
46106,1,2010,ALL,ALL,ALL,65TO69,227
46106,1,2010,ALL,ALL,ALL,70TO74,161
46106,1,2010,ALL,ALL,ALL,75UP,217
46107,1,2010,ALL,ALL,ALL,INFANT,163
46107,1,2010,ALL,ALL,ALL,1TO4,589
46107,1,2010,ALL,ALL,ALL,FIVE,178
46107,1,2010,ALL,ALL,ALL,6TO12,1199
46107,1,2010,ALL,ALL,ALL,13TO17,885
46107,1,2010,ALL,ALL,ALL,EIGHTEEN,167
46107,1,2010,ALL,ALL,ALL,19TO64,7620
46107,1,2010,ALL,ALL,ALL,65TO69,453
46107,1,2010,ALL,ALL,ALL,70TO74,421
46107,1,2010,ALL,ALL,ALL,75UP,1099
46110,1,2010,ALL,ALL,ALL,INFANT,4
46110,1,2010,ALL,ALL,ALL,1TO4,20
46110,1,2010,ALL,ALL,ALL,FIVE,3
46110,1,2010,ALL,ALL,ALL,6TO12,46
46110,1,2010,ALL,ALL,ALL,13TO17,44
46110,1,2010,ALL,ALL,ALL,EIGHTEEN,11
46110,1,2010,ALL,ALL,ALL,19TO64,295
46110,1,2010,ALL,ALL,ALL,65TO69,26
46110,1,2010,ALL,ALL,ALL,70TO74,25
46110,1,2010,ALL,ALL,ALL,75UP,26
46112,1,2010,ALL,ALL,ALL,INFANT,434
46112,1,2010,ALL,ALL,ALL,1TO4,1995
46112,1,2010,ALL,ALL,ALL,FIVE,524
46112,1,2010,ALL,ALL,ALL,6TO12,3842
46112,1,2010,ALL,ALL,ALL,13TO17,2768
46112,1,2010,ALL,ALL,ALL,EIGHTEEN,497
46112,1,2010,ALL,ALL,ALL,19TO64,19804
46112,1,2010,ALL,ALL,ALL,65TO69,1215
46112,1,2010,ALL,ALL,ALL,70TO74,837
46112,1,2010,ALL,ALL,ALL,75UP,1746
46113,1,2010,ALL,ALL,ALL,INFANT,208
46113,1,2010,ALL,ALL,ALL,1TO4,971
46113,1,2010,ALL,ALL,ALL,FIVE,231
46113,1,2010,ALL,ALL,ALL,6TO12,1765
46113,1,2010,ALL,ALL,ALL,13TO17,1070
46113,1,2010,ALL,ALL,ALL,EIGHTEEN,217
46113,1,2010,ALL,ALL,ALL,19TO64,8601
46113,1,2010,ALL,ALL,ALL,65TO69,379
46113,1,2010,ALL,ALL,ALL,70TO74,269
46113,1,2010,ALL,ALL,ALL,75UP,434
46115,1,2010,ALL,ALL,ALL,INFANT,21
46115,1,2010,ALL,ALL,ALL,1TO4,103
46115,1,2010,ALL,ALL,ALL,FIVE,21
46115,1,2010,ALL,ALL,ALL,6TO12,190
46115,1,2010,ALL,ALL,ALL,13TO17,151
46115,1,2010,ALL,ALL,ALL,EIGHTEEN,27
46115,1,2010,ALL,ALL,ALL,19TO64,1150
46115,1,2010,ALL,ALL,ALL,65TO69,76
46115,1,2010,ALL,ALL,ALL,70TO74,82
46115,1,2010,ALL,ALL,ALL,75UP,112
46117,1,2010,ALL,ALL,ALL,INFANT,1
46117,1,2010,ALL,ALL,ALL,1TO4,24
46117,1,2010,ALL,ALL,ALL,FIVE,8
46117,1,2010,ALL,ALL,ALL,6TO12,70
46117,1,2010,ALL,ALL,ALL,13TO17,57
46117,1,2010,ALL,ALL,ALL,EIGHTEEN,9
46117,1,2010,ALL,ALL,ALL,19TO64,395
46117,1,2010,ALL,ALL,ALL,65TO69,31
46117,1,2010,ALL,ALL,ALL,70TO74,42
46117,1,2010,ALL,ALL,ALL,75UP,34
46118,1,2010,ALL,ALL,ALL,INFANT,53
46118,1,2010,ALL,ALL,ALL,1TO4,232
46118,1,2010,ALL,ALL,ALL,FIVE,63
46118,1,2010,ALL,ALL,ALL,6TO12,502
46118,1,2010,ALL,ALL,ALL,13TO17,376
46118,1,2010,ALL,ALL,ALL,EIGHTEEN,76
46118,1,2010,ALL,ALL,ALL,19TO64,2987
46118,1,2010,ALL,ALL,ALL,65TO69,298
46118,1,2010,ALL,ALL,ALL,70TO74,182
46118,1,2010,ALL,ALL,ALL,75UP,246
46120,1,2010,ALL,ALL,ALL,INFANT,65
46120,1,2010,ALL,ALL,ALL,1TO4,261
46120,1,2010,ALL,ALL,ALL,FIVE,79
46120,1,2010,ALL,ALL,ALL,6TO12,579
46120,1,2010,ALL,ALL,ALL,13TO17,403
46120,1,2010,ALL,ALL,ALL,EIGHTEEN,98
46120,1,2010,ALL,ALL,ALL,19TO64,3606
46120,1,2010,ALL,ALL,ALL,65TO69,343
46120,1,2010,ALL,ALL,ALL,70TO74,229
46120,1,2010,ALL,ALL,ALL,75UP,291
46121,1,2010,ALL,ALL,ALL,INFANT,62
46121,1,2010,ALL,ALL,ALL,1TO4,303
46121,1,2010,ALL,ALL,ALL,FIVE,65
46121,1,2010,ALL,ALL,ALL,6TO12,536
46121,1,2010,ALL,ALL,ALL,13TO17,437
46121,1,2010,ALL,ALL,ALL,EIGHTEEN,70
46121,1,2010,ALL,ALL,ALL,19TO64,3223
46121,1,2010,ALL,ALL,ALL,65TO69,285
46121,1,2010,ALL,ALL,ALL,70TO74,185
46121,1,2010,ALL,ALL,ALL,75UP,269
46122,1,2010,ALL,ALL,ALL,INFANT,184
46122,1,2010,ALL,ALL,ALL,1TO4,798
46122,1,2010,ALL,ALL,ALL,FIVE,211
46122,1,2010,ALL,ALL,ALL,6TO12,1584
46122,1,2010,ALL,ALL,ALL,13TO17,1191
46122,1,2010,ALL,ALL,ALL,EIGHTEEN,212
46122,1,2010,ALL,ALL,ALL,19TO64,8737
46122,1,2010,ALL,ALL,ALL,65TO69,568
46122,1,2010,ALL,ALL,ALL,70TO74,404
46122,1,2010,ALL,ALL,ALL,75UP,782
46123,1,2010,ALL,ALL,ALL,INFANT,401
46123,1,2010,ALL,ALL,ALL,1TO4,1911
46123,1,2010,ALL,ALL,ALL,FIVE,468
46123,1,2010,ALL,ALL,ALL,6TO12,3694
46123,1,2010,ALL,ALL,ALL,13TO17,2621
46123,1,2010,ALL,ALL,ALL,EIGHTEEN,433
46123,1,2010,ALL,ALL,ALL,19TO64,19192
46123,1,2010,ALL,ALL,ALL,65TO69,1085
46123,1,2010,ALL,ALL,ALL,70TO74,693
46123,1,2010,ALL,ALL,ALL,75UP,1256
46124,1,2010,ALL,ALL,ALL,INFANT,101
46124,1,2010,ALL,ALL,ALL,1TO4,413
46124,1,2010,ALL,ALL,ALL,FIVE,141
46124,1,2010,ALL,ALL,ALL,6TO12,730
46124,1,2010,ALL,ALL,ALL,13TO17,525
46124,1,2010,ALL,ALL,ALL,EIGHTEEN,115
46124,1,2010,ALL,ALL,ALL,19TO64,5153
46124,1,2010,ALL,ALL,ALL,65TO69,355
46124,1,2010,ALL,ALL,ALL,70TO74,247
46124,1,2010,ALL,ALL,ALL,75UP,347
46126,1,2010,ALL,ALL,ALL,INFANT,37
46126,1,2010,ALL,ALL,ALL,1TO4,173
46126,1,2010,ALL,ALL,ALL,FIVE,54
46126,1,2010,ALL,ALL,ALL,6TO12,480
46126,1,2010,ALL,ALL,ALL,13TO17,428
46126,1,2010,ALL,ALL,ALL,EIGHTEEN,60
46126,1,2010,ALL,ALL,ALL,19TO64,2840
46126,1,2010,ALL,ALL,ALL,65TO69,219
46126,1,2010,ALL,ALL,ALL,70TO74,155
46126,1,2010,ALL,ALL,ALL,75UP,222
46128,1,2010,ALL,ALL,ALL,INFANT,30
46128,1,2010,ALL,ALL,ALL,1TO4,95
46128,1,2010,ALL,ALL,ALL,FIVE,21
46128,1,2010,ALL,ALL,ALL,6TO12,165
46128,1,2010,ALL,ALL,ALL,13TO17,174
46128,1,2010,ALL,ALL,ALL,EIGHTEEN,34
46128,1,2010,ALL,ALL,ALL,19TO64,1194
46128,1,2010,ALL,ALL,ALL,65TO69,93
46128,1,2010,ALL,ALL,ALL,70TO74,73
46128,1,2010,ALL,ALL,ALL,75UP,70
46130,1,2010,ALL,ALL,ALL,INFANT,20
46130,1,2010,ALL,ALL,ALL,1TO4,100
46130,1,2010,ALL,ALL,ALL,FIVE,33
46130,1,2010,ALL,ALL,ALL,6TO12,250
46130,1,2010,ALL,ALL,ALL,13TO17,194
46130,1,2010,ALL,ALL,ALL,EIGHTEEN,40
46130,1,2010,ALL,ALL,ALL,19TO64,1541
46130,1,2010,ALL,ALL,ALL,65TO69,122
46130,1,2010,ALL,ALL,ALL,70TO74,101
46130,1,2010,ALL,ALL,ALL,75UP,107
46131,1,2010,ALL,ALL,ALL,INFANT,361
46131,1,2010,ALL,ALL,ALL,1TO4,1696
46131,1,2010,ALL,ALL,ALL,FIVE,453
